7.000000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.999650002916656435e+06,6.999883333916665288e+04,9.999998333333416367e-01
6.998600046666044742e+06,1.399906668533315533e+05,1.999998666666933156e+00
6.996850236242912710e+06,2.099685014174696116e+05,2.999995500002025306e+00
6.994400746626845561e+06,2.799253393064390984e+05,3.999989333341866793e+00
6.991251822764763609e+06,3.498541848947483231e+05,4.999979166692709143e+00
6.987403779546429403e+06,4.197480453561121831e+05,5.999964000064800018e+00
6.982857001772956923e+06,4.895999313627294032e+05,6.999942833473392412e+00
6.977611944118335843e+06,5.594028577842088416e+05,7.999914666939733188e+00
6.971669131083959714e+06,6.291498443860772531e+05,8.999878500492073385e+00
6.965029156946180388e+06,6.988339165277971188e+05,9.999833334166666532e+00
6.957692685696877539e+06,7.684481058602236444e+05,1.099977816800875630e+01
6.949660450977063738e+06,8.379854510224355618e+05,1.199971200207359345e+01
6.940933256003516726e+06,9.074389983378640609e+05,1.299963383642743153e+01
6.931511973488459364e+06,9.768018025096554775e+05,1.399954267114851447e+01
6.921397545552295633e+06,1.046066927315194509e+06,1.499943750632808914e+01
6.910590983629388735e+06,1.115227446299721953e+06,1.599931734207141609e+01
6.899093368366925046e+06,1.184276443468972109e+06,1.699918117849872701e+01
6.886905849516849965e+06,1.253207013980769319e+06,1.799902801574627631e+01
6.874029645820892416e+06,1.322012264835504116e+06,1.899885685396731816e+01
6.860466044888691045e+06,1.390685315565428464e+06,1.999866669333308522e+01
6.846216403069037944e+06,1.459219298922696849e+06,2.099845653403382073e+01
6.831282145314238966e+06,1.527607361566085368e+06,2.199822537627977326e+01
6.815664765037624165e+06,1.595842664746318944e+06,2.299797222030218435e+01
6.799365823964206502e+06,1.663918384989941958e+06,2.399769606635429042e+01
6.782386951974513009e+06,1.731827714781660587e+06,2.499739591471233169e+01
6.764729846941592172e+06,1.799563863245085813e+06,2.599707076567654340e+01
6.746396274561233819e+06,1.867120056821817998e+06,2.699671961957215416e+01
6.727388068175395951e+06,1.934489539948796388e+06,2.799634147675039486e+01
6.707707128588880412e+06,2.001665575733848847e+06,2.899593533758948638e+01
6.687355423879241571e+06,2.068641446629376849e+06,2.999550020249565918e+01
